N,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,VBAT
41,180623.0,113298.0,-59221.0,206439.0,311829.0,595301.0,210791.0,294306.0,-219.0,310.0,16754.0,-639.0,-1226.0,345.0,3649.0
42,180644.0,113688.0,-58879.0,206749.0,312136.0,595562.0,210506.0,294058.0,-219.0,310.0,16754.0,-639.0,-1226.0,345.0,3649.0
43,181106.0,114851.0,-58081.0,207241.0,312361.0,595638.0,210667.0,295119.0,-219.0,310.0,16754.0,-639.0,-1226.0,345.0,3649.0
44,181069.0,114694.0,-58492.0,206743.0,311932.0,595351.0,210858.0,294970.0,-219.0,310.0,16754.0,-639.0,-1226.0,345.0,3649.0
45,180403.0,113406.0,-59317.0,206227.0,311683.0,595349.0,210916.0,293449.0,-219.0,310.0,16754.0,-639.0,-1226.0,345.0,3649.0
46,179430.0,112653.0,-59728.0,206025.0,311577.0,595240.0,211164.0,292764.0,-219.0,310.0,16754.0,-639.0,-1226.0,345.0,3649.0
47,179867.0,112838.0,-59727.0,206128.0,311466.0,594948.0,210638.0,293335.0,-219.0,310.0,16754.0,-639.0,-1226.0,345.0,3649.0
48,181156.0,113620.0,-59177.0,206484.0,311714.0,595110.0,210199.0,294999.0,-219.0,310.0,16754.0,-639.0,-1226.0,345.0,3649.0
49,181735.0,113606.0,-59507.0,205930.0,311525.0,595045.0,210035.0,294795.0,-219.0,310.0,16754.0,-639.0,-1226.0,345.0,3649.0
50,181916.0,113127.0,-60069.0,205512.0,311020.0,594448.0,210192.0,294663.0,-219.0,310.0,16754.0,-639.0,-1226.0,345.0,3649.0
51,182042.0,112353.0,-60584.0,205202.0,310836.0,594395.0,210875.0,295031.0,36.0,-102.0,16580.0,-178.0,333.0,12.0,3649.0
52,181875.0,112508.0,-60343.0,205483.0,311109.0,594712.0,210621.0,294021.0,36.0,-102.0,16580.0,-178.0,333.0,12.0,3649.0
53,182007.0,112985.0,-60115.0,205373.0,311239.0,594828.0,210803.0,294334.0,36.0,-102.0,16580.0,-178.0,333.0,12.0,3649.0
54,181878.0,112830.0,-60274.0,205426.0,311291.0,594867.0,210695.0,294436.0,36.0,-102.0,16580.0,-178.0,333.0,12.0,3649.0
55,182392.0,113219.0,-59779.0,206008.0,311653.0,595213.0,210618.0,294733.0,36.0,-102.0,16580.0,-178.0,333.0,12.0,3649.0
56,182960.0,113333.0,-59774.0,205875.0,311476.0,595011.0,210293.0,294584.0,36.0,-102.0,16580.0,-178.0,333.0,12.0,3649.0
57,183139.0,113288.0,-59756.0,205956.0,311561.0,595111.0,210246.0,293726.0,36.0,-102.0,16580.0,-178.0,333.0,12.0,3649.0
58,183611.0,113830.0,-59152.0,206648.0,312256.0,595771.0,210461.0,293931.0,36.0,-102.0,16580.0,-178.0,333.0,12.0,3649.0
59,183699.0,113442.0,-59592.0,206214.0,311914.0,595465.0,210467.0,294043.0,36.0,-102.0,16580.0,-178.0,333.0,12.0,3649.0
