Sample_num,Task_number,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Timestamp,Video_timestamp,Angle_sample
0,0,321766,303731,437060,195865,244071,323144,-60394,-411407,1636025658.7384558,1636025658.781524,0
1,0,321796,303723,437055,195851,244048,323131,-60414,-411422,1636025658.738458,1636025658.781524,0
2,0,321798,303729,437044,195843,244033,323132,-60429,-411422,1636025658.7425768,1636025658.781524,0
3,0,321812,303755,437052,195844,244048,323167,-60421,-411409,1636025658.7425787,1636025658.781524,0
4,0,321818,303778,437052,195839,244037,323162,-60440,-411434,1636025658.7465954,1636025658.781524,0
5,0,321815,303789,437057,195859,244031,323154,-60417,-411427,1636025658.746598,1636025658.781524,0
6,0,321834,303785,437076,195882,244037,323147,-60427,-411414,1636025658.7519636,1636025658.781524,0
7,0,321856,303783,437068,195890,244048,323169,-60432,-411420,1636025658.7519667,1636025658.781524,0
8,0,321898,303811,437087,195929,244077,323218,-60387,-411378,1636025658.7544134,1636025658.781524,0
9,0,321924,303853,437119,195974,244100,323231,-60385,-411392,1636025658.754416,1636025658.781524,0
10,0,321914,303836,437092,195955,244074,323219,-60397,-411404,1636025659,1636025658.781524,0
11,0,321960,303883,437153,195997,244119,323288,-60405,-411415,1636025658.7594132,1636025658.781524,0
12,0,321973,303904,437157,195991,244123,323314,-60396,-411404,1636025658.7626617,1636025658.781524,0
13,0,321977,303919,437161,195988,244107,323328,-60374,-411405,1636025658.7626643,1636025658.781524,0
14,0,321989,303951,437178,196021,244112,323371,-60339,-411377,1636025658.7678688,1636025658.781524,0
15,0,322003,303988,437207,196044,244125,323389,-60331,-411366,1636025658.7678747,1636025658.781524,0
16,0,322002,303959,437180,196034,244103,323401,-60319,-411384,1636025658.770285,1636025658.781524,0
17,0,322000,303923,437131,196028,244056,323402,-60341,-411394,1636025658.770286,1636025658.781524,0
18,0,322105,304049,437266,196116,244086,323431,-60345,-411382,1636025658.7742577,1636025658.781524,0
19,0,322119,304048,437283,196123,244093,323433,-60324,-411377,1636025658.7742603,1636025658.781524,0
20,0,322095,304023,437249,196109,244109,323439,-60323,-411395,1636025658.7787476,1636025658.781524,0
21,0,322100,304065,437238,196126,244126,323446,-60326,-411416,1636025658.7787497,1636025658.781524,0
22,0,322101,304100,437251,196160,244164,323472,-60323,-411406,1636025658.7827003,1636025658.781524,0
23,0,322045,304111,437248,196151,244152,323473,-60309,-411399,1636025658.7827027,1636025658.781524,0
24,0,322056,304138,437240,196161,244106,323448,-60322,-411429,1636025658.7878356,1636025658.935359,1
25,0,322146,304288,437364,196275,244203,323548,-60307,-411474,1636025658.7902617,1636025658.935359,1
26,0,322127,304268,437331,196216,244168,323543,-60299,-411462,1636025658.790264,1636025658.935359,1
27,0,322129,304249,437316,196211,244177,323552,-60280,-411433,1636025658.794324,1636025658.935359,1
28,0,322138,304241,437294,196217,244158,323549,-60297,-411446,1636025658.7943268,1636025658.935359,1
29,0,322141,304271,437306,196231,244142,323578,-60285,-411437,1636025658.7982686,1636025658.935359,1
30,0,322142,304262,437300,196223,244124,323583,-60272,-411420,1636025658.7982717,1636025658.935359,1
31,0,322129,304238,437282,196204,244102,323568,-60275,-411416,1636025658.803408,1636025658.935359,1
32,0,322139,304262,437302,196224,244125,323596,-60247,-411399,1636025659,1636025658.935359,1
33,0,322150,304280,437313,196246,244126,323601,-60236,-411396,1636025658.806682,1636025658.935359,1
34,0,322170,304272,437313,196223,244106,323609,-60232,-411389,1636025658.8066845,1636025658.935359,1
35,0,322204,304281,437327,196228,244105,323613,-60251,-411398,1636025658.811722,1636025658.935359,1
36,0,322228,304313,437383,196257,244104,323619,-60254,-411384,1636025658.811742,1636025658.935359,1
37,0,322289,304351,437449,196294,244127,323651,-60227,-411345,1636025658.8142812,1636025658.935359,1
38,0,322281,304361,437473,196316,244119,323664,-60219,-411336,1636025658.8142824,1636025658.935359,1
39,0,322251,304333,437496,196324,244107,323675,-60236,-411338,1636025658.8183472,1636025658.935359,1
40,0,322247,304339,437518,196343,244127,323724,-60217,-411337,1636025658.8183525,1636025658.935359,1
41,0,322236,304341,437526,196324,244110,323714,-60226,-411353,1636025658.8223178,1636025658.935359,1
42,0,322254,304365,437523,196318,244107,323705,-60236,-411350,1636025658.8223207,1636025658.935359,1
43,0,322264,304352,437512,196323,244124,323708,-60235,-411339,1636025658.8305588,1636025658.935359,1
44,0,322267,304368,437541,196344,244145,323727,-60217,-411340,1636025658.8305624,1636025658.935359,1
45,0,322253,304399,437573,196359,244148,323724,-60222,-411347,1636025658.830578,1636025658.935359,1
46,0,322258,304408,437596,196355,244151,323740,-60187,-411341,1636025658.8305783,1636025658.935359,1
47,0,322269,304436,437589,196344,244152,323748,-60197,-411350,1636025658.8341472,1636025658.935359,1
48,0,322323,304524,437654,196405,244194,323761,-60211,-411346,1636025658.8341503,1636025658.935359,1
49,0,322346,304527,437683,196390,244203,323771,-60217,-411342,1636025658.8386965,1636025658.935359,1
50,0,322335,304486,437674,196374,244193,323757,-60220,-411365,1636025658.8386984,1636025658.935359,1
51,0,322336,304508,437713,196406,244218,323773,-60200,-411358,1636025658.8423846,1636025658.935359,1
52,0,322381,304524,437724,196417,244213,323792,-60179,-411322,1636025658.8423877,1636025658.935359,1
53,0,322396,304529,437708,196404,244200,323819,-60178,-411338,1636025658.8467124,1636025658.935359,1
54,0,322401,304583,437779,196449,244228,323837,-60262,-411395,1636025658.846714,1636025658.935359,1
55,0,322443,304605,437801,196454,244222,323817,-60295,-411372,1636025658.853684,1636025658.935359,1
56,0,322483,304596,437776,196433,244216,323825,-60158,-411322,1636025658.8536875,1636025658.935359,1
57,0,322577,304757,437924,196588,244379,323987,-60019,-411285,1636025658.8543196,1636025658.935359,1
58,0,322535,304721,437913,196547,244347,323955,-60081,-411293,1636025658.8543217,1636025658.935359,1
59,0,322512,304713,437918,196541,244308,323934,-60124,-411311,1636025658.8583546,1636025658.935359,1
60,0,322523,304749,437949,196558,244294,323947,-60119,-411320,1636025658.8583572,1636025658.935359,1
61,0,322512,304788,437975,196578,244320,323966,-60149,-411329,1636025659,1636025658.935359,1
62,0,322542,304815,437997,196601,244346,323964,-60176,-411336,1636025658.862502,1636025658.935359,1
63,0,322537,304798,437943,196523,244294,323919,-60215,-411365,1636025658.9189084,1636025658.935359,1
64,0,322550,304810,437953,196521,244299,323948,-60201,-411359,1636025658.9189136,1636025658.935359,1
65,0,322544,304814,437962,196533,244282,323941,-60227,-411393,1636025658.918936,1636025658.935359,1
66,0,322573,304843,437998,196541,244266,323969,-60219,-411402,1636025658.9189365,1636025658.935359,1
67,0,322575,304861,438010,196527,244269,323995,-60187,-411354,1636025658.9189394,1636025658.935359,1
68,0,322573,304871,438007,196505,244244,323975,-60201,-411366,1636025658.9189398,1636025658.935359,1
69,0,322633,304925,438066,196541,244275,323991,-60183,-411361,1636025658.9189427,1636025658.935359,1
70,0,322638,304940,438063,196529,244271,324000,-60181,-411369,1636025658.918943,1636025658.935359,1
71,0,322638,305009,438116,196579,244326,324025,-60166,-411392,1636025658.9189456,1636025658.935359,1
72,0,322630,305056,438135,196596,244344,324043,-60161,-411380,1636025658.918946,1636025658.935359,1
73,0,322629,305088,438139,196589,244351,324026,-60131,-411349,1636025658.9189484,1636025658.935359,1
74,0,322604,305079,438145,196574,244364,324011,-60134,-411347,1636025658.9189487,1636025658.935359,1
75,0,322604,305068,438159,196567,244382,324008,-60146,-411344,1636025658.9189513,1636025658.935359,1
76,0,322624,305068,438188,196589,244407,324031,-60117,-411336,1636025658.9189515,1636025658.935359,1
