Sample_num,Task_number,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Timestamp,Video_timestamp,Angle_sample
57,0,152414,320784,526871,449484,479371,592815,13862,-358814,1636551622.1185143,1636551622.203735,1
58,0,152555,320940,527060,449662,479501,592977,14018,-358616,1636551622.1185176,1636551622.203735,1
59,0,152624,321032,527119,449664,479484,592965,13953,-358770,1636551622.1226635,1636551622.203735,1
60,0,152463,320825,526886,449409,479276,592899,13575,-359151,1636551622.122666,1636551622.203735,1
61,0,152416,320852,527007,449606,479567,593294,13452,-359037,1636551622.126686,1636551622.203735,1
62,0,152143,320513,526648,449235,479157,592714,14106,-359038,1636551622.1266885,1636551622.203735,1
63,0,152208,320636,526827,449417,479359,592845,14079,-358973,1636551622.1306236,1636551622.203735,1
64,0,152256,320691,526906,449523,479571,593056,14167,-358898,1636551622.1306255,1636551622.203735,1
65,0,152198,320545,526819,449551,479725,593158,14096,-358986,1636551622.134554,1636551622.203735,1
66,0,152363,320686,526968,449696,479781,593273,13743,-359042,1636551622.1345563,1636551622.203735,1
67,0,152629,321146,527195,449663,479503,593046,13396,-359114,1636551622.138564,1636551622.203735,1
68,0,152292,320817,526943,449433,479266,592815,13869,-359062,1636551622.1385715,1636551622.203735,1
69,0,152185,320604,526783,449366,479300,592822,13994,-358941,1636551622,1636551622.203735,1
70,0,152529,320983,527158,449876,479876,593476,13938,-358675,1636551622.1427035,1636551622.203735,1
71,0,152966,321356,527453,450176,480103,593549,14851,-358190,1636551622.147208,1636551622.203735,1
72,0,152904,321331,527266,449898,479776,593268,14314,-358721,1636551622.147214,1636551622.203735,1
73,0,152218,320659,526642,449341,479293,592981,13409,-359403,1636551622.1520543,1636551622.203735,1
74,0,152057,320473,526468,449159,478977,592294,13610,-359354,1636551622,1636551622.203735,1
75,0,152013,320423,526434,449126,479026,592506,13704,-359279,1636551622.1546667,1636551622.203735,1
76,0,152089,320481,526515,449199,479163,592755,13816,-359164,1636551622.1546712,1636551622.203735,1
77,0,152239,320633,526749,449479,479549,593283,13089,-359253,1636551622.1585188,1636551622.203735,1
78,0,152360,320753,526819,449464,479466,592888,13324,-359259,1636551622.158524,1636551622.203735,1
79,0,152246,320644,526685,449173,479097,592443,14346,-358999,1636551622.1626744,1636551622.203735,1
80,0,152488,320839,526866,449409,479401,593033,14569,-358543,1636551622.1626763,1636551622.203735,1
81,0,152867,321254,527268,449821,479799,593454,14513,-358914,1636551622,1636551622.203735,1
82,0,152251,320669,526859,449480,479488,593174,14173,-359175,1636551622.168282,1636551622.203735,1
83,0,152298,320643,526726,449306,479351,593314,14099,-359074,1636551622.1714883,1636551622.203735,1
84,0,152444,320796,526845,449454,479561,593471,13852,-359077,1636551622,1636551622.203735,1
85,0,152720,321071,527143,449767,479824,592873,14271,-358896,1636551622.174506,1636551622.203735,1
86,0,152790,321106,527123,449712,479769,593039,14143,-358967,1636551622.1745086,1636551622.203735,1
87,0,152047,320328,526368,448926,479037,592658,13791,-359403,1636551622.1788125,1636551622.203735,1
88,0,152146,320454,526582,449141,479235,592849,14159,-359086,1636551622.1788156,1636551622.203735,1
89,0,152467,320804,526879,449410,479576,593558,13888,-359092,1636551622.1829867,1636551622.203735,1
90,0,152531,320851,526863,449367,479391,592966,14172,-359051,1636551622.182995,1636551622.203735,1
91,0,152396,320759,526834,449395,479420,592806,14249,-359023,1636551622.1866832,1636551622.203735,1
92,0,152402,320769,526837,449419,479446,592964,14021,-359134,1636551622.1866868,1636551622.203735,1
93,0,152333,320711,526808,449454,479504,593133,14164,-359186,1636551622.1905284,1636551622.203735,1
94,0,152656,320961,526924,449521,479644,593525,13721,-359079,1636551622.1905303,1636551622.203735,1
95,0,152701,320951,526829,449363,479371,593032,14064,-359078,1636551622.1946647,1636551622.203735,1
96,0,152233,320645,526742,449389,479396,592783,14499,-359197,1636551622.1946685,1636551622.203735,1
97,0,152269,320625,526711,449383,479468,593122,14392,-359142,1636551622.2006552,1636551622.203735,1
98,0,152393,320699,526754,449403,479416,593073,14168,-359132,1636551622.2006645,1636551622.203735,1
99,0,152396,320734,526840,449517,479649,593486,13793,-359244,1636551622.2026784,1636551622.203735,1
100,0,152546,320876,526877,449389,479429,593143,14613,-359150,1636551622.2026803,1636551622.203735,1
101,0,152371,320753,526903,449469,479536,592958,14518,-359132,1636551622.206581,1636551622.203735,1
102,0,152032,320409,526713,449383,479654,593289,14458,-359279,1636551622.2065833,1636551622.203735,1
103,0,152114,320451,526709,449341,479599,593318,14423,-359262,1636551622.210823,1636551622.203735,1
104,0,152331,320714,526910,449356,479440,593122,14228,-359273,1636551622.2108257,1636551622.203735,1
105,0,152672,321066,527279,449612,479668,593197,13903,-359156,1636551622.2201164,1636551622.277311,2
106,0,152536,321014,527391,449852,480001,593629,14078,-359312,1636551622.2201238,1636551622.277311,2
107,0,152481,320867,527151,449569,479730,593471,14579,-359244,1636551622.2256353,1636551622.277311,2
108,0,152435,320795,526939,449238,479334,593146,14516,-359242,1636551622.2256377,1636551622.277311,2
109,0,152415,320844,527038,449332,479390,593149,14911,-358924,1636551622.2306588,1636551622.277311,2
110,0,152496,321016,527149,449378,479408,592992,14330,-359112,1636551622,1636551622.277311,2
111,0,152357,320922,527032,449286,479409,593039,14141,-359312,1636551622.230667,1636551622.277311,2
112,0,152417,320871,527183,449597,479896,593667,14920,-358937,1636551622.2306676,1636551622.277311,2
113,0,152849,321266,527491,449731,479868,593513,14973,-358671,1636551622.242848,1636551622.277311,2
114,0,153043,321506,527701,449896,480011,593639,14801,-358749,1636551622,1636551622.277311,2
115,0,152602,321075,527344,449575,479781,593657,13881,-359342,1636551622.2428634,1636551622.277311,2
116,0,151993,320479,526736,448924,479118,592997,13554,-359908,1636551622.242864,1636551622.277311,2
117,0,151663,320134,526379,448551,478735,592446,13966,-359877,1636551622.2428668,1636551622.277311,2
118,0,151998,320446,526799,449129,479480,593343,14113,-359506,1636551622.2428672,1636551622.277311,2
119,0,152218,320652,526907,449207,479496,593373,14177,-359466,1636551622.246464,1636551622.277311,2
120,0,152354,320856,526898,449004,478975,592476,14011,-359417,1636551622.246466,1636551622.277311,2
121,0,152347,320853,526929,449130,479173,592858,14109,-359398,1636551622.2519455,1636551622.277311,2
122,0,152361,320926,527030,449288,479319,592976,14208,-359368,1636551622.2519495,1636551622.277311,2
123,0,152476,321085,527214,449507,479569,593329,14438,-359265,1636551622.256477,1636551622.277311,2
124,0,152598,321207,527333,449655,479751,593547,14585,-359224,1636551622.2564795,1636551622.277311,2
125,0,152303,320922,527078,449496,479726,593482,14285,-359561,1636551622.2588456,1636551622.277311,2
126,0,151925,320621,526802,449231,479506,593439,13596,-359724,1636551622.2588477,1636551622.277311,2
127,0,152258,320834,526903,449264,479464,593364,13266,-359451,1636551622.2626967,1636551622.277311,2
128,0,152464,321029,526988,449244,479293,592966,15030,-359242,1636551622.2626998,1636551622.277311,2
129,0,152740,321402,527365,449543,479457,592881,15125,-358988,1636551622.2672207,1636551622.277311,2
130,0,152624,321343,527305,449559,479509,593151,14319,-359224,1636551622,1636551622.277311,2
131,0,152199,320921,526889,449265,479403,593447,13461,-359711,1636551622.2704573,1636551622.277311,2
132,0,152028,320746,526716,449111,479189,592977,13918,-359856,1636551622.2704597,1636551622.277311,2
133,0,152145,320879,526826,449189,479195,592724,14251,-359682,1636551622.2744408,1636551622.277311,2
134,0,152225,320962,526904,449273,479287,593006,14444,-359482,1636551622.2744417,1636551622.277311,2
135,0,152531,321234,527128,449561,479596,593410,14853,-359112,1636551622.2790804,1636551622.277311,2
136,0,152828,321529,527365,449811,479833,593628,14665,-359117,1636551622.2790844,1636551622.277311,2
137,0,152573,321306,527160,449631,479608,593343,14501,-359454,1636551622.2836523,1636551622.277311,2
138,0,152299,321011,526869,449351,479355,593157,14089,-359530,1636551622.2836664,1636551622.277311,2
139,0,152311,321068,526944,449437,479491,593358,13959,-359423,1636551622.2866542,1636551622.277311,2
140,0,152205,320980,526928,449464,479491,593136,14803,-359459,1636551622.2866597,1636551622.277311,2
141,0,152573,321306,527160,449631,479608,593343,14501,-359454,1636551622.2836523,1636551622.346181,3
142,0,152299,321011,526869,449351,479355,593157,14089,-359530,1636551622.2836664,1636551622.346181,3
143,0,152311,321068,526944,449437,479491,593358,13959,-359423,1636551622.2866542,1636551622.346181,3
144,0,152205,320980,526928,449464,479491,593136,14803,-359459,1636551622.2866597,1636551622.346181,3
145,0,152243,321028,526979,449553,479584,593225,14163,-359681,1636551622.2905703,1636551622.346181,3
146,0,152076,320866,526824,449429,479504,593230,13976,-359876,1636551622.2905731,1636551622.346181,3
147,0,151937,320656,526549,449135,479229,593131,14376,-359671,1636551622.2944653,1636551622.346181,3
148,0,152526,321213,527036,449556,479584,593534,14956,-359026,1636551622.2944703,1636551622.346181,3
149,0,152458,321241,527198,449787,479839,593843,14593,-359236,1636551622.2986257,1636551622.346181,3
150,0,152522,321351,527186,449631,479570,593639,14356,-359430,1636551622.2986305,1636551622.346181,3
151,0,152567,321343,527265,449771,479772,593319,14429,-359321,1636551622.3028102,1636551622.346181,3
152,0,152531,321328,527289,449804,479808,593254,14191,-359348,1636551622.302814,1636551622.346181,3
153,0,152701,321544,527534,450018,479934,593641,13910,-359390,1636551622.3064733,1636551622.346181,3
154,0,152499,321401,527399,449811,479630,593203,14333,-359587,1636551622.306476,1636551622.346181,3
155,0,152526,321371,527322,449738,479528,593109,14154,-359602,1636551622.3132029,1636551622.346181,3
156,0,152262,321112,527052,449509,479387,592983,14440,-359571,1636551622.3132052,1636551622.346181,3
157,0,152504,321364,527266,449705,479582,593303,14731,-359278,1636551622.314408,1636551622.346181,3
158,0,152229,321071,527066,449561,479491,593448,14338,-359572,1636551622,1636551622.346181,3
159,0,152249,321073,527081,449619,479648,593703,14498,-359571,1636551622.3250573,1636551622.346181,3
160,0,152204,321035,527160,449707,479633,593554,14383,-359692,1636551622.3250592,1636551622.346181,3
161,0,152332,321121,527140,449555,479298,593108,14119,-359575,1636551622.325071,1636551622.346181,3
162,0,152361,321159,527138,449558,479369,593283,14255,-359587,1636551622.3250716,1636551622.346181,3
163,0,152333,321144,527096,449500,479326,593215,14216,-359534,1636551622.326534,1636551622.346181,3
164,0,152283,321104,527073,449531,479416,593306,14316,-359387,1636551622.326536,1636551622.346181,3
165,0,152437,321273,527236,449733,479647,593568,14558,-359391,1636551622.330593,1636551622.346181,3
166,0,152495,321353,527282,449762,479649,593581,14461,-359892,1636551622.3305943,1636551622.346181,3
167,0,152113,320951,526886,449423,479339,593273,14033,-359948,1636551622.334859,1636551622.346181,3
168,0,152031,320882,526965,449589,479559,593512,14038,-359859,1636551622.3348672,1636551622.346181,3
169,0,152473,321353,527325,449746,479573,593574,13731,-359708,1636551622.3388228,1636551622.346181,3
170,0,152518,321369,527251,449563,479258,592994,14384,-359627,1636551622.3388247,1636551622.346181,3
171,0,152354,321211,527186,449589,479388,593106,14308,-359677,1636551622.3612764,1636551622.346181,3
172,0,152317,321205,527171,449544,479394,593260,14079,-359769,1636551622.3612788,1636551622.346181,3
173,0,152509,321469,527415,449795,479822,594292,13794,-359764,1636551622.3612912,1636551622.346181,3
174,0,152866,321772,527829,450261,480363,594870,14553,-359367,1636551622.3612916,1636551622.346181,3
175,0,153406,322337,528314,450618,480373,593706,15954,-358470,1636551622.3612945,1636551622.346181,3
