Sample_num,Task_number,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Timestamp,Video_timestamp,Angle_sample
0,0,336961,189860,72790,146641,284191,200008,10540,-438527,1636548399.5273576,1636548399.583093,0
1,0,336936,189816,72796,146653,284272,200073,10606,-438504,1636548399.5273595,1636548399.583093,0
2,0,336873,189723,72709,146543,284211,200009,10553,-438572,1636548399.5382712,1636548399.583093,0
3,0,336976,189809,72769,146594,284247,200020,10596,-438491,1636548399.538273,1636548399.583093,0
4,0,336998,189848,72791,146684,284246,199988,10578,-438498,1636548399.538286,1636548399.583093,0
5,0,336939,189802,72731,146651,284213,199951,10524,-438555,1636548399.5382867,1636548399.583093,0
6,0,336999,189874,72773,146683,284266,199984,10558,-438489,1636548399.5454237,1636548399.583093,0
7,0,337041,189908,72787,146669,284234,199947,10487,-438506,1636548399.5454264,1636548399.583093,0
8,0,337043,189904,72861,146785,284408,200175,10654,-438432,1636548399.545441,1636548399.583093,0
9,0,336973,189806,72761,146658,284231,199976,10578,-438462,1636548399.5454412,1636548399.583093,0
10,0,336969,189804,72743,146633,284206,199989,10580,-438493,1636548399.5476885,1636548399.583093,0
11,0,336954,189794,72731,146635,284210,200001,10574,-438519,1636548399.547691,1636548399.583093,0
12,0,336914,189760,72653,146495,284137,199962,10528,-438578,1636548399.5517273,1636548399.583093,0
13,0,336963,189809,72622,145818,283956,199943,10546,-438556,1636548399.551729,1636548399.583093,0
14,0,337014,189873,72648,145482,283916,199978,10606,-438498,1636548399.5679991,1636548399.583093,0
15,0,336946,189813,72691,146695,284186,199994,10583,-438561,1636548399.5680077,1636548399.583093,0
16,0,336908,189801,72776,147521,284452,200045,10583,-438569,1636548399.5680466,1636548399.583093,0
17,0,336878,189763,72694,146851,284244,199988,10546,-438564,1636548399.5680475,1636548399.583093,0
18,0,336938,189799,72698,146774,284231,200012,10588,-438512,1636548399.568053,1636548399.583093,0
19,0,336904,189739,72620,146684,284166,199956,10533,-438581,1636548399.568054,1636548399.583093,0
20,0,336933,189738,72605,146675,284192,199963,10533,-438593,1636548399.568058,1636548399.583093,0
21,0,336873,189651,72556,146621,284132,199911,10479,-438669,1636548399.5680592,1636548399.583093,0
22,0,336847,189606,72541,146598,284130,199879,10463,-438706,1636548399.5834703,1636548399.583093,0
23,0,336879,189629,72580,146616,284154,199902,10504,-438661,1636548399.5834725,1636548399.583093,0
24,0,336918,189666,72661,146689,284234,199993,10560,-438601,1636548399.5834837,1636548399.583093,0
25,0,336867,189616,72633,146631,284185,199934,10499,-438661,1636548399.583484,1636548399.583093,0
26,0,336871,189603,72633,146588,284146,199904,10473,-438662,1636548399.5834866,1636548399.583093,0
27,0,336878,189584,72646,146582,284169,199946,10493,-438657,1636548399.5834868,1636548399.583093,0
28,0,337054,189755,72740,146364,284125,199954,10536,-438564,1636548399.5834894,1636548399.583093,0
29,0,336898,189584,72578,146012,283973,199841,10426,-438701,1636548400,1636548399.583093,0
30,0,336853,189529,72584,146496,284101,199871,10432,-438701,1636548399.5873911,1636548399.583093,0
31,0,336787,189452,72562,146878,284180,199833,10374,-438762,1636548399.587394,1636548399.583093,0
32,0,336827,189484,72571,146623,284111,199818,10382,-438739,1636548399.5912364,1636548399.583093,0
33,0,336913,189558,72663,146626,284163,199897,10465,-438645,1636548399.5912402,1636548399.583093,0
34,0,336827,189484,72571,146623,284111,199818,10382,-438739,1636548399.5912364,1636548399.773966,1
35,0,336913,189558,72663,146626,284163,199897,10465,-438645,1636548399.5912402,1636548399.773966,1
36,0,336844,189479,72622,146584,284126,199870,10425,-438681,1636548400,1636548399.773966,1
37,0,336867,189516,72663,146596,284154,199888,10443,-438682,1636548399.5967522,1636548399.773966,1
38,0,336881,189573,72718,146622,284182,199925,10489,-438663,1636548399.5992188,1636548399.773966,1
39,0,336932,189639,72794,146669,284239,199987,10551,-438574,1636548399.5992205,1636548399.773966,1
40,0,336966,189639,72798,146672,284243,199989,10553,-438540,1636548399.608608,1636548399.773966,1
41,0,336948,189603,72732,146645,284206,199959,10525,-438604,1636548399.6086113,1636548399.773966,1
42,0,336954,189606,72716,146624,284199,199991,10570,-438586,1636548399.6089191,1636548399.773966,1
43,0,336883,189518,72659,146588,284190,199983,10559,-438621,1636548399.6089249,1636548399.773966,1
44,0,336855,189485,72643,146534,284118,199901,10494,-438647,1636548399.6112645,1636548399.773966,1
45,0,336868,189506,72604,146454,284009,199774,10463,-438622,1636548399.611267,1636548399.773966,1
46,0,336836,189466,72601,146516,284081,199837,10457,-438643,1636548399.6150296,1636548399.773966,1
47,0,336816,189433,72593,146590,284132,199878,10486,-438686,1636548399.6150317,1636548399.773966,1
48,0,336801,189406,72546,146526,284089,199851,10458,-438704,1636548400,1636548399.773966,1
49,0,336934,189521,72632,146576,284123,199874,10504,-438614,1636548399.6215122,1636548399.773966,1
50,0,337003,189579,72671,146603,284142,199888,10530,-438578,1636548399.6248307,1636548399.773966,1
51,0,336911,189516,72612,146558,284109,199852,10472,-438678,1636548399.6248329,1636548399.773966,1
52,0,336845,189496,72586,146585,284126,199859,10461,-438710,1636548399.6270354,1636548399.773966,1
53,0,336863,189523,72581,146564,284078,199799,10463,-438679,1636548399.6270375,1636548399.773966,1
54,0,336821,189476,72540,146537,284056,199791,10464,-438720,1636548399.6339853,1636548399.773966,1
55,0,336771,189416,72466,146471,283980,199711,10378,-438791,1636548399.6340337,1636548399.773966,1
56,0,336824,189476,72501,146513,284013,199753,10401,-438750,1636548399.6425552,1636548399.773966,1
57,0,336769,189444,72459,146498,283999,199756,10418,-438770,1636548399.642562,1636548399.773966,1
58,0,336751,189460,72481,146556,284089,199854,10510,-438717,1636548399.6425776,1636548399.773966,1
59,0,336785,189511,72511,146555,284088,199838,10491,-438691,1636548399.6425784,1636548399.773966,1
60,0,336777,189489,72516,146219,284024,199876,10533,-438667,1636548399.6439216,1636548399.773966,1
61,0,336814,189512,72402,145324,283629,199626,10372,-438694,1636548399.6439257,1636548399.773966,1
62,0,336764,189456,72423,145709,283729,199654,10388,-438717,1636548399.6519005,1636548399.773966,1
63,0,336746,189441,72588,147294,284132,199681,10376,-438742,1636548399.6519032,1636548399.773966,1
64,0,336804,189484,72577,146928,284028,199605,10338,-438759,1636548399.6519148,1636548399.773966,1
65,0,336773,189444,72566,146658,284071,199734,10443,-438743,1636548399.6519156,1636548399.773966,1
66,0,336658,189348,72508,146593,284017,199702,10402,-438791,1636548399.6552095,1636548399.773966,1
67,0,336712,189403,72500,146530,283918,199620,10333,-438796,1636548399.655216,1636548399.773966,1
68,0,336783,189492,72548,146568,283949,199644,10353,-438768,1636548399.6592395,1636548399.773966,1
69,0,336840,189536,72599,146676,284063,199747,10450,-438686,1636548399.6592429,1636548399.773966,1
70,0,336921,189578,72628,146696,284093,199775,10493,-438625,1636548399.6633177,1636548399.773966,1
71,0,336838,189524,72558,146619,284016,199710,10436,-438701,1636548399.6633236,1636548399.773966,1
72,0,336729,189418,72456,146534,283926,199629,10356,-438799,1636548399.6678364,1636548399.773966,1
73,0,336726,189408,72441,146531,283921,199628,10371,-438812,1636548399.667838,1636548399.773966,1
74,0,336793,189437,72488,146586,283994,199683,10423,-438771,1636548399.671013,1636548399.773966,1
75,0,336879,189484,72558,146665,284063,199744,10468,-438707,1636548399.671015,1636548399.773966,1
76,0,336794,189409,72508,146603,283964,199629,10376,-438771,1636548399.6758797,1636548399.773966,1
77,0,336673,189323,72477,146527,283964,199660,10421,-438799,1636548399.6758854,1636548399.773966,1
78,0,336735,189345,72482,146213,283871,199616,10434,-438756,1636548399.6826901,1636548399.773966,1
79,0,336774,189329,72492,146115,283853,199636,10443,-438733,1636548399.682696,1636548399.773966,1
80,0,336802,189303,72538,146744,284015,199698,10499,-438720,1636548399.6836832,1636548399.773966,1
81,0,336687,189163,72468,146898,284021,199609,10402,-438833,1636548399.6836843,1636548399.773966,1
82,0,336726,189188,72509,146698,284025,199649,10478,-438761,1636548399.699164,1636548399.773966,1
83,0,336706,189156,72481,146610,283965,199588,10416,-438798,1636548399.6991765,1636548399.773966,1
84,0,336716,189153,72509,146578,283954,199593,10424,-438755,1636548399.6992402,1636548399.773966,1
85,0,336756,189188,72540,146594,283988,199634,10482,-438711,1636548399.6992416,1636548399.773966,1
86,0,336716,189136,72499,146628,283969,199584,10416,-438787,1636548399.6992528,1636548399.773966,1
87,0,336722,189145,72503,146641,283981,199592,10402,-438778,1636548399.6992538,1636548399.773966,1
88,0,336740,189202,72514,146653,284016,199624,10426,-438722,1636548399.699898,1636548399.773966,1
89,0,336869,189300,72594,146759,284099,199719,10515,-438622,1636548400,1636548399.773966,1
90,0,336944,189354,72664,146823,284170,199786,10568,-438564,1636548399.703154,1636548399.773966,1
91,0,336861,189264,72586,146771,284147,199753,10538,-438632,1636548399.7031565,1636548399.773966,1
92,0,336828,189221,72583,146788,284188,199778,10536,-438676,1636548399.7075708,1636548399.773966,1
