Sample_num,Task_number,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Timestamp,Video_timestamp,Angle_sample
0,0,144467,218195,365528,333131,464653,253894,48568,-354176,1636549352.9402092,1636549352.989301,0
1,0,144409,218136,365438,333034,464563,253803,48486,-354239,1636549352.9402125,1636549352.989301,0
2,0,144458,218135,365438,333029,464561,253784,48460,-354216,1636549352.9424093,1636549352.989301,0
3,0,144389,218054,365401,332998,464526,253734,48324,-354326,1636549352.9424112,1636549352.989301,0
4,0,144499,218213,365555,333148,464656,253856,48368,-354250,1636549352.9464755,1636549352.989301,0
5,0,144578,218333,365683,333298,464789,254006,48478,-354298,1636549352.946478,1636549352.989301,0
6,0,144497,218224,365570,333200,464734,254029,48656,-354384,1636549352.9499931,1636549352.989301,0
7,0,144334,218039,365379,333001,464552,253896,48604,-354354,1636549352.9499955,1636549352.989301,0
8,0,144404,218050,365386,332962,464510,253837,48520,-354145,1636549352.9545505,1636549352.989301,0
9,0,144449,218019,365358,332928,464453,253763,48470,-354056,1636549352.954554,1636549352.989301,0
10,0,144316,217949,365334,332935,464477,253776,48451,-354240,1636549352.958382,1636549352.989301,0
11,0,144364,218050,365418,333037,464582,253873,48516,-354214,1636549352.958384,1636549352.989301,0
12,0,144419,218184,365531,333118,464647,253914,48514,-354221,1636549352.9629493,1636549352.989301,0
13,0,144409,218105,365438,333044,464563,253858,48472,-354217,1636549352.9629517,1636549352.989301,0
14,0,144390,218046,365382,332966,464476,253782,48408,-354285,1636549352.9661732,1636549352.989301,0
15,0,144400,217983,365390,332991,464516,253801,48444,-354231,1636549352.9661763,1636549352.989301,0
16,0,144452,217951,365346,332991,464532,253828,48478,-354143,1636549352.9701505,1636549352.989301,0
17,0,144367,218039,365353,332986,464509,253778,48320,-354319,1636549352.9701564,1636549352.989301,0
18,0,144441,218265,365588,333151,464626,253856,48379,-354320,1636549352.9741027,1636549352.989301,0
19,0,144400,218101,365431,333038,464546,253804,48541,-354245,1636549352.9741063,1636549352.989301,0
20,0,144426,218106,365411,333008,464554,253824,48625,-354156,1636549352.978178,1636549352.989301,0
21,0,144389,218081,365399,332998,464522,253792,48511,-354236,1636549352.9781804,1636549352.989301,0
22,0,144485,218153,365490,333104,464623,253869,48493,-354214,1636549352.9822462,1636549352.989301,0
23,0,144471,218131,365449,333054,464561,253835,48468,-354256,1636549352.982263,1636549352.989301,0
24,0,144444,218118,365433,333037,464561,253826,48487,-354352,1636549352.9875646,1636549352.989301,0
25,0,144493,218216,365543,333164,464697,253934,48519,-354518,1636549352.9875667,1636549352.989301,0
26,0,144438,218280,365637,333254,464781,254019,48561,-354440,1636549352.9923975,1636549352.989301,0
27,0,144379,218130,365444,333031,464543,253781,48380,-354267,1636549352.9924052,1636549352.989301,0
28,0,144448,218038,365328,332894,464399,253656,48346,-353972,1636549352.9959705,1636549352.989301,0
29,0,144408,218016,365320,332914,464433,253679,48358,-354169,1636549352.9959729,1636549352.989301,0
30,0,144488,218104,365390,333003,464548,253808,48504,-354177,1636549352.9995012,1636549352.989301,0
31,0,144419,218065,365319,332959,464508,253784,48499,-354202,1636549352.999508,1636549352.989301,0
32,0,144459,218109,365381,333037,464538,253798,48409,-354205,1636549353.0030622,1636549352.989301,0
33,0,144508,218159,365443,333089,464578,253838,48423,-354135,1636549353.003065,1636549352.989301,0
34,0,144371,218105,365326,332949,464469,253766,48384,-354354,1636549353.0218804,1636549353.158824,1
35,0,144490,218215,365482,333053,464565,253848,48577,-354208,1636549353.0218823,1636549353.158824,1
36,0,144513,218153,365484,333060,464583,253860,48539,-354168,1636549353.026158,1636549353.158824,1
37,0,144501,218078,365441,333031,464558,253854,48539,-354166,1636549353.026162,1636549353.158824,1
38,0,144486,218121,365451,333024,464548,253843,48541,-354184,1636549353.0339808,1636549353.158824,1
39,0,144434,218115,365443,332999,464509,253781,48443,-354257,1636549353.033983,1636549353.158824,1
40,0,144411,218084,365433,332999,464504,253755,48378,-354281,1636549353.0339932,1636549353.158824,1
41,0,144334,217997,365338,332914,464428,253684,48309,-354347,1636549353.0339935,1636549353.158824,1
42,0,144347,217958,365302,332917,464451,253722,48346,-354324,1636549353.0379329,1636549353.158824,1
43,0,144413,217969,365293,332934,464478,253788,48421,-354252,1636549353.037936,1636549353.158824,1
44,0,144483,218115,365459,333093,464605,253906,48516,-354196,1636549353.0424137,1636549353.158824,1
45,0,144456,218001,365376,332984,464510,253823,48449,-354220,1636549353.042425,1636549353.158824,1
46,0,144441,217866,365231,332879,464413,253713,48406,-354219,1636549353.046004,1636549353.158824,1
47,0,144454,218178,365494,333096,464583,253816,48430,-354247,1636549353.0460107,1636549353.158824,1
48,0,144556,218279,365544,333129,464604,253824,48416,-354214,1636549353.0499313,1636549353.158824,1
49,0,144400,218128,365423,333036,464511,253755,48368,-354297,1636549353.0499444,1636549353.158824,1
50,0,144477,218197,365507,333104,464597,253846,48454,-354194,1636549353.0553532,1636549353.158824,1
51,0,144416,218106,365428,333006,464504,253794,48412,-354266,1636549353.0553563,1636549353.158824,1
52,0,144419,218123,365458,333027,464542,253869,48501,-354381,1636549353.0578673,1636549353.158824,1
53,0,144398,218131,365500,333066,464578,253911,48489,-354552,1636549353,1636549353.158824,1
54,0,144331,218074,365462,333035,464520,253864,48384,-354486,1636549353.0619185,1636549353.158824,1
55,0,144403,218076,365472,333025,464491,253829,48382,-354146,1636549353.061921,1636549353.158824,1
56,0,144456,218004,365406,332969,464434,253761,48408,-353925,1636549353,1636549353.158824,1
57,0,144491,218049,365346,332929,464433,253779,48461,-354080,1636549353.067822,1636549353.158824,1
58,0,144434,218115,365476,333048,464513,253828,48460,-354214,1636549353.0698972,1636549353.158824,1
59,0,144402,218058,365443,333009,464494,253779,48319,-354413,1636549353.0698988,1636549353.158824,1
