Sample_num,Task_number,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Timestamp,Video_timestamp,Angle_sample
0,0,17031,2762,3782,6898,-9152,-198,3669,-35714,1635432200.6204717,1635432200.620118,0
1,0,17020,2751,3773,6894,-9166,-192,3649,-35719,1635432200.6204822,1635432200.620118,0
2,0,17007,2736,3761,6891,-9154,-172,3652,-35736,1635432200.6204827,1635432200.620118,0
3,0,17003,2729,3752,6880,-9155,-182,3661,-35729,1635432200.6204853,1635432200.620118,0
4,0,17029,2748,3773,6896,-9147,-207,3667,-35709,1635432200.6204855,1635432200.620118,0
5,0,17036,2759,3778,6898,-9148,-212,3676,-35711,1635432200.6204882,1635432200.620118,0
6,0,17034,2754,3769,6884,-9159,-227,3679,-35719,1635432200.6204884,1635432200.620118,0
7,0,17028,2746,3761,6881,-9164,-242,3683,-35718,1635432200.6204908,1635432200.620118,0
8,0,17026,2740,3753,6877,-9176,-266,3685,-35707,1635432200.6204913,1635432200.620118,0
9,0,17033,2740,3754,6872,-9186,-271,3683,-35702,1635432200.6204937,1635432200.620118,0
10,0,17047,2763,3775,6885,-9177,-257,3684,-35716,1635432200.620494,1635432200.620118,0
11,0,17056,2781,3798,6908,-9150,-226,3696,-35715,1635432200.6204965,1635432200.620118,0
12,0,17038,2759,3776,6893,-9155,-168,3693,-35729,1635432200.6204965,1635432200.620118,0
13,0,17031,2743,3758,6859,-9179,-162,3698,-35732,1635432200.620499,1635432200.620118,0
14,0,17036,2749,3769,6851,-9200,-171,3719,-35711,1635432200.6204991,1635432200.620118,0
15,0,17046,2758,3781,6867,-9196,-220,3741,-35714,1635432200.6205015,1635432200.620118,0
16,0,17039,2748,3770,6869,-9206,-325,3699,-35686,1635432200.620502,1635432200.620118,0
17,0,17034,2759,3779,6894,-9172,-281,3659,-35688,1635432200.6205044,1635432200.620118,0
18,0,17022,2752,3774,6896,-9168,-256,3701,-35709,1635432200.6205049,1635432200.620118,0
19,0,17038,2758,3775,6892,-9172,-291,3709,-35697,1635432200.6234713,1635432200.620118,0
20,0,17048,2768,3784,6894,-9180,-273,3721,-35694,1635432200.6234746,1635432200.620118,0
21,0,17031,2751,3771,6879,-9204,-232,3724,-35706,1635432200.628799,1635432200.620118,0
22,0,17006,2729,3751,6859,-9231,-259,3696,-35709,1635432200.6288016,1635432200.620118,0
23,0,17031,2751,3771,6879,-9204,-232,3724,-35706,1635432200.628799,1635432200.773797,1
24,0,17006,2729,3751,6859,-9231,-259,3696,-35709,1635432200.6288016,1635432200.773797,1
25,0,17005,2734,3743,6858,-9229,-357,3668,-35709,1635432200.6344097,1635432200.773797,1
26,0,17031,2768,3774,6898,-9168,-277,3678,-35699,1635432200.6344128,1635432200.773797,1
27,0,17043,2774,3792,6904,-9159,-212,3655,-35697,1635432200.6364715,1635432200.773797,1
28,0,17033,2755,3773,6884,-9172,-184,3670,-35699,1635432200.6364758,1635432200.773797,1
29,0,17033,2755,3763,6866,-9214,-226,3704,-35702,1635432200.6408863,1635432200.773797,1
30,0,17033,2751,3763,6841,-9271,-415,3743,-35697,1635432201,1635432200.773797,1
31,0,17010,2718,3737,6829,-9280,-552,3742,-35705,1635432200.6434388,1635432200.773797,1
32,0,17026,2741,3753,6871,-9205,-436,3716,-35696,1635432200.6434417,1635432200.773797,1
33,0,17038,2780,3798,6928,-9104,-143,3638,-35706,1635432200.6474645,1635432200.773797,1
34,0,16991,2733,3759,6897,-9119,-56,3628,-35744,1635432200.6474693,1635432200.773797,1
35,0,16985,2729,3746,6876,-9160,-122,3670,-35739,1635432201,1635432200.773797,1
36,0,17013,2751,3766,6879,-9159,-167,3689,-35722,1635432200.6516342,1635432200.773797,1
37,0,17033,2767,3784,6900,-9137,-177,3711,-35717,1635432200.655283,1635432200.773797,1
38,0,17020,2761,3793,6914,-9127,-199,3728,-35712,1635432200.6552863,1635432200.773797,1
39,0,17018,2761,3793,6904,-9148,-214,3723,-35709,1635432200.660837,1635432200.773797,1
40,0,17033,2771,3799,6889,-9182,-211,3720,-35709,1635432200.6608403,1635432200.773797,1
41,0,17031,2771,3792,6876,-9239,-205,3715,-35712,1635432200.6634293,1635432200.773797,1
42,0,17016,2767,3789,6874,-9215,-179,3729,-35725,1635432200.663435,1635432200.773797,1
43,0,17007,2753,3763,6865,-9136,-209,3704,-35704,1635432200.6675105,1635432200.773797,1
44,0,17023,2763,3771,6879,-9181,-272,3649,-35691,1635432200.667524,1635432200.773797,1
